district;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
District of Krupina;3.95;3.95;3.33;2.04;3.29;3.47;2.10;4.11;3.32;3.13;2.74;3.57;2.58;2.85;3.89;3.32;3.47;4.97;4.52;4.62;3.48
District of Lučenec;3.88;3.76;2.55;1.85;2.43;3.08;2.38;3.69;3.88;2.98;2.90;4.26;3.37;2.67;3.71;3.19;3.14;5.03;3.79;4.74;3.80
District of Poltár;3.82;4.03;2.51;2.48;2.99;2.64;2.41;3.57;3.38;2.92;2.82;4.13;2.96;2.53;3.40;2.54;3.05;4.85;3.70;4.51;4.01
District of Revúca;2.66;2.87;1.85;2.09;2.02;2.29;2.01;3.53;2.94;2.66;2.55;3.93;2.96;1.89;3.40;3.68;2.84;5.04;3.60;4.73;4.33
District of Rimavská Sobota;3.39;3.53;2.56;2.03;3.03;2.72;2.55;3.78;3.77;3.17;2.89;4.49;3.87;2.61;4.11;3.62;3.76;5.67;4.52;5.34;4.70
District of Veľký Krtíš;4.36;4.08;2.60;2.16;3.30;3.36;2.01;4.01;3.85;3.53;2.92;4.25;3.27;2.96;3.80;2.87;3.72;5.33;4.51;5.23;4.50
District of Zvolen;4.05;4.36;3.04;2.96;3.95;3.34;2.96;4.18;3.87;3.26;3.40;4.52;3.61;2.53;3.44;3.82;2.93;4.25;3.51;5.09;4.11
District of Žarnovica;3.56;3.39;2.70;2.02;2.09;2.42;2.34;3.29;3.01;2.79;2.80;3.69;2.79;2.21;3.77;2.91;3.60;4.95;3.87;5.76;4.05
District of Žiar nad Hronom;3.26;3.24;2.12;2.09;3.50;3.12;1.78;2.89;3.39;2.73;3.04;3.84;2.91;2.68;3.01;3.07;2.84;4.12;4.13;4.76;4.50
East Slovakia;3.26;2.96;2.60;1.94;3.02;3.15;2.44;3.60;3.22;3.00;3.16;3.93;3.54;2.52;3.75;3.86;3.69;5.10;4.57;5.30;5.10
Region of Prešov;2.91;2.94;2.49;1.86;2.61;3.04;2.56;3.05;2.76;2.79;3.13;3.51;3.28;2.20;3.48;3.55;3.33;4.12;4.11;4.25;4.11
District of Bardejov;2.64;2.94;2.45;1.37;2.30;2.94;2.59;2.72;2.27;2.35;2.99;3.03;3.23;2.28;3.59;3.85;3.44;4.09;4.50;3.90;3.86
District of Humenné;2.66;2.39;2.06;1.20;2.27;2.79;1.85;2.62;2.19;2.02;2.25;2.66;2.96;1.74;2.82;3.17;2.14;3.27;3.46;3.76;3.86
District of Kežmarok;2.66;3.55;2.72;2.48;2.87;3.23;3.37;3.55;3.22;3.66;3.57;3.96;3.44;2.76;3.65;3.59;3.73;3.67;3.98;3.89;4.20
District of Levoča;3.45;3.32;2.87;2.79;3.24;3.38;2.67;3.38;3.33;2.94;3.49;3.65;3.12;2.16;3.38;3.02;3.23;3.48;3.67;3.97;4.21
District of Medzilaborce;2.31;1.94;2.06;1.17;1.42;1.73;1.14;1.97;1.69;2.03;2.58;3.02;2.69;1.89;3.10;2.20;2.04;2.62;2.72;1.58;1.99
District of Poprad;2.90;3.63;2.60;2.71;2.78;3.02;3.06;3.15;2.90;3.53;3.25;3.63;3.59;2.34;3.53;3.72;3.48;3.76;3.86;4.08;4.06
District of Prešov;3.05;2.98;2.51;1.89;2.66;3.12;2.56;3.10;2.69;2.51;3.06;3.75;3.26;2.02;3.53;3.54;3.41;4.30;4.39;4.44;4.24
District of Sabinov;2.69;2.34;2.25;1.60;2.34;2.70;2.21;2.90;2.89;2.75;2.86;2.73;2.36;2.36;3.05;2.92;2.65;3.99;4.01;3.76;3.79
District of Snina;3.09;2.70;2.66;1.57;2.46;3.15;2.25;3.04;2.60;3.01;3.40;3.26;4.35;2.48;3.03;3.66;2.88;4.99;4.45;3.83;3.97
District of Stará Ľubovňa;2.41;2.36;1.96;1.62;1.92;2.69;2.07;2.56;2.26;2.18;2.96;2.93;2.60;1.97;3.15;2.81;2.46;3.17;3.20;3.78;3.32
District of Stropkov;2.53;2.04;2.33;0.98;1.86;2.57;1.72;2.35;2.43;2.63;3.13;3.01;3.09;1.18;3.53;3.39;3.24;3.46;3.24;3.14;3.76
District of Svidník;1.94;1.66;1.53;0.71;1.63;1.83;1.59;1.90;1.97;2.09;2.95;2.35;2.53;1.49;2.90;3.00;3.04;4.79;3.84;3.60;3.43
District of Vranov nad Topľou;3.75;3.50;2.98;2.13;3.22;3.75;2.76;3.50;3.17;3.06;3.31;4.27;3.78;2.30;3.88;4.20;3.89;5.14;4.58;5.46;4.65
Region of Košice;3.51;2.97;2.69;2.00;3.14;3.21;2.38;3.93;3.47;3.11;3.18;4.15;3.67;2.70;3.89;4.02;3.88;5.58;4.79;5.82;5.60
District of Gelnica;3.03;2.41;2.50;2.02;2.89;2.22;1.93;2.47;2.26;2.36;1.98;2.92;2.89;1.39;1.62;2.45;1.61;1.69;2.06;2.17;2.42
District of Košice I-IV and Košice - okolie;3.66;3.66;3.23;2.63;3.52;3.27;2.64;4.26;3.76;3.41;3.16;4.64;3.87;2.59;3.87;3.88;3.63;5.35;4.66;5.68;5.48
District of Michalovce;3.60;2.59;2.48;1.60;3.13;3.48;2.44;4.03;3.55;3.19;3.59;4.23;3.81;3.04;4.36;4.51;4.25;6.64;5.40;6.65;6.71
District of Rožňava;2.78;3.02;1.95;1.61;3.30;1.87;1.85;2.70;2.56;2.31;2.19;2.95;2.79;1.58;2.39;2.91;2.73;3.45;3.42;3.99;3.91
District of Sobrance;3.22;2.59;2.53;1.87;3.21;3.35;2.25;3.94;3.38;3.28;3.30;4.20;3.68;3.18;4.06;4.69;4.11;5.99;5.00;5.67;5.32
District of Spišská Nová Ves;2.88;3.52;2.70;2.63;3.07;3.03;3.09;3.56;3.10;2.84;3.40;3.74;3.45;2.28;3.53;3.69;3.30;3.87;3.88;4.36;4.24
District of Trebišov;3.59;2.57;2.46;1.66;3.17;3.25;2.12;3.80;3.34;2.81;2.92;3.80;3.50;2.51;3.70;3.68;3.92;5.29;4.62;5.67;5.18
