2019-04-18 17:25.39 STOP predict_per_district      region=Region(district_name='Humenné', region_name='Prešovský', area=754238069.0, geometry=<ee.geometry.Geometry object at 0x11e76d2b0>)
2019-04-18 17:25.39 START predict_per_district     region=Region(district_name='Kežmarok', region_name='Prešovský', area=629867590.0, geometry=<ee.geometry.Geometry object at 0x11e76d358>)
2019-04-18 17:26.25 STOP predict_per_district      region=Region(district_name='Kežmarok', region_name='Prešovský', area=629867590.0, geometry=<ee.geometry.Geometry object at 0x11e76d358>)
2019-04-18 17:26.25 START predict_per_district     region=Region(district_name='Levoča', region_name='Prešovský', area=421001569.0, geometry=<ee.geometry.Geometry object at 0x11e76d400>)
2019-04-18 17:26.53 STOP predict_per_district      region=Region(district_name='Levoča', region_name='Prešovský', area=421001569.0, geometry=<ee.geometry.Geometry object at 0x11e76d400>)
2019-04-18 17:26.53 START predict_per_district     region=Region(district_name='Medzilaborce', region_name='Prešovský', area=427252072.0, geometry=<ee.geometry.Geometry object at 0x11e76d4a8>)
2019-04-18 17:27.17 STOP predict_per_district      region=Region(district_name='Medzilaborce', region_name='Prešovský', area=427252072.0, geometry=<ee.geometry.Geometry object at 0x11e76d4a8>)
2019-04-18 17:27.17 START predict_per_district     region=Region(district_name='Poprad', region_name='Prešovský', area=1104688836.0, geometry=<ee.geometry.Geometry object at 0x11e76d588>)
2019-04-18 17:28.04 STOP predict_per_district      region=Region(district_name='Poprad', region_name='Prešovský', area=1104688836.0, geometry=<ee.geometry.Geometry object at 0x11e76d588>)
2019-04-18 17:28.04 START predict_per_district     region=Region(district_name='Prešov', region_name='Prešovský', area=933954989.0, geometry=<ee.geometry.Geometry object at 0x11e76d630>)
2019-04-18 17:28.48 STOP predict_per_district      region=Region(district_name='Prešov', region_name='Prešovský', area=933954989.0, geometry=<ee.geometry.Geometry object at 0x11e76d630>)
2019-04-18 17:28.48 START predict_per_district     region=Region(district_name='Sabinov', region_name='Prešovský', area=545448530.0, geometry=<ee.geometry.Geometry object at 0x11e76d710>)
2019-04-18 17:29.16 STOP predict_per_district      region=Region(district_name='Sabinov', region_name='Prešovský', area=545448530.0, geometry=<ee.geometry.Geometry object at 0x11e76d710>)
2019-04-18 17:29.16 START predict_per_district     region=Region(district_name='Snina', region_name='Prešovský', area=804744186.0, geometry=<ee.geometry.Geometry object at 0x11e76d7f0>)
2019-04-18 17:29.50 STOP predict_per_district      region=Region(district_name='Snina', region_name='Prešovský', area=804744186.0, geometry=<ee.geometry.Geometry object at 0x11e76d7f0>)
2019-04-18 17:29.50 START predict_per_district     region=Region(district_name='Stará Ľubovňa', region_name='Prešovský', area=707866759.0, geometry=<ee.geometry.Geometry object at 0x11c208d68>)
2019-04-18 17:30.14 STOP predict_per_district      region=Region(district_name='Stará Ľubovňa', region_name='Prešovský', area=707866759.0, geometry=<ee.geometry.Geometry object at 0x11c208d68>)
2019-04-18 17:30.14 START predict_per_district     region=Region(district_name='Stropkov', region_name='Prešovský', area=388931630.0, geometry=<ee.geometry.Geometry object at 0x11e76d940>)
2019-04-18 17:30.39 STOP predict_per_district      region=Region(district_name='Stropkov', region_name='Prešovský', area=388931630.0, geometry=<ee.geometry.Geometry object at 0x11e76d940>)
2019-04-18 17:30.39 START predict_per_district     region=Region(district_name='Svidník', region_name='Prešovský', area=549607373.0, geometry=<ee.geometry.Geometry object at 0x11e76d9e8>)
2019-04-18 17:31.18 STOP predict_per_district      region=Region(district_name='Svidník', region_name='Prešovský', area=549607373.0, geometry=<ee.geometry.Geometry object at 0x11e76d9e8>)
2019-04-18 17:31.18 START predict_per_district     region=Region(district_name='Vranov nad Topľou', region_name='Prešovský', area=769233414.0, geometry=<ee.geometry.Geometry object at 0x11e76da90>)
