2019-04-18 17:45.06 STOP predict_per_district      region=Region(district_name='Bánovce nad Bebravou', region_name='Trenčiansky', area=461939077.0, geometry=<ee.geometry.Geometry object at 0x11225f8d0>)
2019-04-18 17:45.07 STOP predict_per_district      region=Region(district_name='Bardejov', region_name='Prešovský', area=935985087.0, geometry=<ee.geometry.Geometry object at 0x120cd5358>)
2019-04-18 17:45.10 STOP predict_per_district      region=Region(district_name='Bratislava I-V', region_name='Bratislavský', area=367627172.0, geometry=<ee.geometry.Geometry object at 0x121d08470>)
2019-04-18 17:45.11 STOP predict_per_district      region=Region(district_name='Kysucké Nové Mesto', region_name='Žilinský', area=173683180.0, geometry=<ee.geometry.Geometry object at 0x11feb4438>)
2019-04-18 17:45.12 STOP predict_per_district      region=Region(district_name='Trenčín', region_name='Trenčiansky', area=674811863.0, geometry=<ee.geometry.Geometry object at 0x11e993c50>)
2019-04-18 17:45.12 STOP predict_per_district      region=Region(district_name='Malacky', region_name='Bratislavský', area=949564634.0, geometry=<ee.geometry.Geometry object at 0x11e993a20>)
2019-04-18 17:45.15 STOP predict_per_district      region=Region(district_name='Bytča', region_name='Žilinský', area=281518791.0, geometry=<ee.geometry.Geometry object at 0x11feb4240>)
2019-04-18 17:45.20 STOP predict_per_district      region=Region(district_name='Komárno', region_name='Nitriansky', area=1100133357.0, geometry=<ee.geometry.Geometry object at 0x11e993cf8>)
2019-04-18 17:45.22 STOP predict_per_district      region=Region(district_name='Trnava', region_name='Trnavský', area=741316337.0, geometry=<ee.geometry.Geometry object at 0x11225f2e8>)
2019-04-18 17:45.22 STOP predict_per_district      region=Region(district_name='Považská Bystrica', region_name='Trenčiansky', area=463153880.0, geometry=<ee.geometry.Geometry object at 0x11225f588>)
2019-04-18 17:45.23 STOP predict_per_district      region=Region(district_name='Dolný Kubín', region_name='Žilinský', area=491838833.0, geometry=<ee.geometry.Geometry object at 0x11feb4390>)
2019-04-18 17:45.25 STOP predict_per_district      region=Region(district_name='Stropkov', region_name='Prešovský', area=388931630.0, geometry=<ee.geometry.Geometry object at 0x120cd5a90>)
2019-04-18 17:45.31 STOP predict_per_district      region=Region(district_name='Senica', region_name='Trnavský', area=683257517.0, geometry=<ee.geometry.Geometry object at 0x1128398d0>)
2019-04-18 17:45.31 STOP predict_per_district      region=Region(district_name='Zvolen', region_name='Banskobystrický', area=759021066.0, geometry=<ee.geometry.Geometry object at 0x120cd5160>)
2019-04-18 17:45.31 STOP predict_per_district      region=Region(district_name='Trebišov', region_name='Košický', area=1073469994.0, geometry=<ee.geometry.Geometry object at 0x121d08160>)
2019-04-18 17:45.32 STOP predict_per_district      region=Region(district_name='Banská Bystrica', region_name='Banskobystrický', area=809430920.0, geometry=<ee.geometry.Geometry object at 0x11feb49b0>)
2019-04-18 17:45.34 STOP predict_per_district      region=Region(district_name='Turčianske Teplice', region_name='Žilinský', area=392860227.0, geometry=<ee.geometry.Geometry object at 0x11feb47b8>)
2019-04-18 17:45.34 STOP predict_per_district      region=Region(district_name='Šaľa', region_name='Nitriansky', area=355900088.0, geometry=<ee.geometry.Geometry object at 0x11feb4048>)
